date,INSTRUMENT_1,INSTRUMENT_2,INSTRUMENT_3,INSTRUMENT_4,INSTRUMENT_5,INSTRUMENT_6,INSTRUMENT_7,INSTRUMENT_8,INSTRUMENT_9,INSTRUMENT_10
2017-08-24,214.91,134.69,57.95,37.73,103.59,100.59,122.44,77.81,4330.03,324.02
2017-08-25,215.41,134.39,58.3,37.95,104.01,100.79,122.9,78.14,4294.53,327.84
2017-08-26,215.4,134.39,58.3,37.95,104.0,100.79,122.91,78.15,4352.53,331.46
2017-08-27,215.41,134.41,58.3,37.96,104.01,100.79,122.91,78.15,4325.14,348.78
2017-08-28,215.43,134.86,58.3,37.82,103.95,100.89,124.87,76.38,4402.68,346.72
2017-08-29,215.69,135.39,58.06,37.76,104.26,101.13,124.6,75.83,4604.59,375.36
2017-08-30,216.71,136.93,57.98,37.82,104.23,101.04,124.54,75.19,4572.95,386.63
2017-08-31,218.0,138.4,58.42,37.88,104.53,101.21,126.0,77.19,4742.66,385.49
2017-09-01,218.32,138.21,58.5,38.16,103.75,100.94,126.24,77.51,4853.26,389.25
2017-09-02,218.32,138.21,58.5,38.15,103.74,100.94,126.24,77.52,4488.99,343.76
2017-09-03,218.3,138.21,58.5,38.15,103.74,100.94,126.24,77.52,4526.58,342.32
2017-09-04,218.29,138.22,58.5,38.15,103.73,100.93,126.24,77.53,4116.23,284.12
2017-09-05,216.73,136.98,58.11,37.66,105.36,101.62,127.65,79.55,4383.19,312.44
2017-09-06,217.48,137.4,58.47,37.9,104.72,101.36,127.01,80.51,4637.2,335.39
2017-09-07,217.46,137.72,58.94,38.18,105.8,101.83,128.33,80.45,4710.65,334.75
2017-09-08,217.2,136.52,58.95,37.93,105.58,101.75,128.17,78.05,4298.79,303.19
2017-09-09,217.2,136.53,58.95,37.93,105.58,101.75,128.16,78.05,4275.24,296.98
2017-09-10,217.22,136.54,58.95,37.93,105.58,101.75,128.17,78.03,4147.23,293.73
2017-09-11,219.54,138.12,59.41,38.44,104.31,101.14,126.38,78.76,4226.07,297.54
2017-09-12,220.29,138.45,59.6,38.4,103.8,100.88,126.75,79.17,4182.58,294.09
2017-09-13,220.39,138.63,59.27,38.19,103.37,100.68,125.8,80.77,3963.25,277.03
2017-09-14,220.33,137.82,59.38,38.29,103.8,100.7,126.36,81.25,3204.29,215.3
2017-09-15,220.63,138.28,59.43,38.52,103.84,100.83,125.73,81.81,3717.45,253.1
2017-09-16,220.64,138.29,59.43,38.52,103.84,100.83,125.72,81.82,3732.73,249.42
2017-09-17,220.62,138.29,59.43,38.52,103.85,100.83,125.71,81.82,3718.15,257.65
2017-09-18,221.06,138.1,59.51,38.66,103.24,100.43,124.54,81.57,4054.81,294.65
2017-09-19,221.3,138.33,59.79,38.74,102.99,100.33,124.79,81.09,3928.7,284.01
2017-09-20,221.4,137.89,59.66,38.56,103.06,100.16,123.79,82.13,3917.79,282.07
2017-09-21,220.81,137.06,59.54,38.56,103.0,100.04,122.84,82.2,3626.58,256.99
2017-09-22,220.84,136.93,59.72,38.34,103.29,100.2,123.41,82.13,3611.46,264.0
2017-09-23,220.86,136.95,59.72,38.34,103.29,100.2,123.41,82.14,3796.09,286.04
2017-09-24,220.84,136.93,59.72,38.35,103.29,100.2,123.42,82.15,3673.99,282.18
2017-09-25,220.41,135.52,59.38,37.69,103.95,100.47,124.71,84.65,3936.25,294.64
2017-09-26,220.54,135.89,59.25,37.59,103.75,100.39,123.32,84.17,3898.49,288.13
2017-09-27,221.38,137.08,59.3,37.46,102.21,99.91,122.15,84.42,4210.49,309.98
2017-09-28,221.65,137.01,59.46,37.43,101.9,99.89,122.38,83.69,4193.26,302.61
2017-09-29,222.45,138.01,59.81,37.86,102.12,99.75,121.74,83.7,4194.43,292.36
2017-09-30,222.45,138.02,59.81,37.86,102.12,99.75,121.75,83.69,4399.57,304.55
2017-10-01,222.47,138.0,59.81,37.86,102.12,99.75,121.75,83.68,4399.45,304.16
2017-10-02,223.42,138.14,59.75,37.87,101.94,99.65,120.94,81.91,4400.71,296.76
2017-10-03,223.89,138.42,59.95,38.47,102.03,99.79,120.99,81.68,4330.81,292.82
2017-10-04,224.13,138.55,59.84,38.46,102.04,99.76,121.33,80.87,4228.8,292.32
2017-10-05,225.49,139.92,59.81,38.75,101.64,99.66,120.69,82.23,4313.45,295.16
2017-10-06,225.21,140.07,59.76,38.56,101.36,99.53,121.26,79.98,4390.86,311.04
2017-10-07,225.2,140.06,59.76,38.56,101.35,99.53,121.26,79.98,4444.96,311.41
2017-10-08,225.19,140.07,59.76,38.55,101.37,99.53,121.25,79.99,4663.89,311.44
2017-10-09,224.81,139.96,59.78,38.52,101.69,99.65,122.25,80.23,4811.41,297.59
2017-10-10,225.43,140.07,60.35,38.91,101.88,99.69,122.57,82.48,4807.51,299.01
2017-10-11,225.75,140.5,60.49,39.08,102.06,99.8,122.96,83.12,4845.26,304.36
2017-10-12,225.43,140.24,60.45,39.07,102.51,99.9,123.06,82.09,5456.61,304.32
2017-10-13,225.69,140.81,60.77,39.42,103.22,100.23,123.99,83.22,5679.72,338.24
2017-10-14,225.69,140.81,60.77,39.43,103.23,100.23,124.0,83.22,5900.0,342.1
2017-10-15,225.7,140.81,60.77,39.43,103.23,100.23,123.99,83.22,5739.63,338.15
2017-10-16,226.0,141.3,60.72,39.4,103.15,100.06,123.14,83.94,5789.46,335.42
2017-10-17,226.17,141.48,60.57,39.19,103.29,100.03,122.3,84.18,5621.37,315.33
2017-10-18,226.4,141.29,60.74,39.28,102.63,99.77,121.83,84.09,5538.58,309.87
2017-10-19,226.45,140.76,60.64,38.94,102.8,99.88,122.55,83.05,5710.71,308.89
2017-10-20,227.62,141.15,60.57,39.08,101.71,99.45,121.78,83.7,6038.68,304.69
2017-10-21,227.62,141.16,60.57,39.08,101.7,99.45,121.79,83.68,6054.75,299.14
2017-10-22,227.62,141.16,60.57,39.09,101.71,99.45,121.79,83.68,5979.68,294.06
2017-10-23,226.7,140.22,60.44,38.77,101.88,99.55,121.99,83.62,5945.76,281.25
2017-10-24,227.11,140.48,60.54,38.78,101.23,99.26,121.51,84.57,5503.75,297.59
2017-10-25,226.0,139.95,60.31,38.69,100.74,99.11,121.54,84.09,5718.43,294.72
2017-10-26,226.33,139.51,60.3,38.43,100.38,98.97,120.52,84.81,5890.88,295.06
2017-10-27,228.2,143.57,60.44,38.99,101.07,99.29,121.1,86.99,5795.42,296.72
2017-10-28,228.19,143.58,60.44,38.98,101.06,99.29,121.11,87.0,5746.84,292.23
2017-10-29,228.19,143.58,60.44,38.98,101.07,99.29,121.1,86.99,6200.46,305.35
2017-10-30,227.31,143.89,60.57,38.74,102.06,99.64,121.34,87.24,6152.33,307.75
2017-10-31,227.67,144.44,60.83,39.1,102.1,99.57,120.88,87.74,6498.95,305.37
2017-11-01,227.99,144.4,60.89,39.31,102.56,99.63,121.31,87.49,6792.42,287.49
2017-11-02,228.09,144.14,61.07,39.35,102.99,99.76,121.4,88.21,7060.54,283.58
2017-11-03,228.82,145.53,60.98,39.15,103.26,99.93,120.82,89.74,7157.5,304.64
2017-11-04,228.81,145.54,60.98,39.15,103.26,99.93,120.82,89.74,7399.88,298.67
2017-11-05,228.78,145.53,60.98,39.15,103.26,99.93,120.82,89.75,7385.58,296.15
2017-11-06,229.13,146.0,61.07,39.59,103.63,100.05,121.85,92.4,6997.95,298.57
2017-11-07,228.96,146.11,60.84,39.33,104.08,100.09,121.42,92.23,7103.99,292.34
2017-11-08,229.35,146.7,61.04,39.52,103.83,99.97,121.84,91.58,7343.48,303.49
2017-11-09,228.5,145.93,60.69,39.27,103.54,99.93,122.34,91.99,7119.83,318.37
2017-11-10,228.45,145.93,60.52,39.1,102.03,99.41,121.34,91.66,6544.31,293.96
2017-11-11,228.43,145.92,60.51,39.1,102.03,99.41,121.33,91.66,6281.16,310.46
2017-11-12,228.41,145.93,60.51,39.1,102.03,99.41,121.33,91.67,5843.23,305.54
2017-11-13,228.64,146.11,60.26,39.01,102.23,99.37,121.51,91.33,6502.17,313.31
2017-11-14,228.11,145.57,60.22,38.75,102.9,99.5,121.76,89.32,6611.3,335.98
2017-11-15,226.93,144.86,59.93,38.55,104.01,99.87,121.61,89.0,7282.0,331.72
2017-11-16,228.88,146.74,60.41,39.35,103.1,99.61,121.61,88.85,7911.5,331.81
2017-11-17,228.26,146.19,60.19,39.54,103.87,99.73,123.07,91.09,7744.67,331.58
2017-11-18,228.25,146.19,60.19,39.54,103.87,99.73,123.06,91.09,7810.18,347.01
2017-11-19,228.24,146.18,60.19,39.55,103.87,99.73,123.07,91.09,8088.42,354.58
2017-11-20,228.62,146.05,60.32,39.75,103.83,99.57,121.52,90.54,8261.16,367.79
2017-11-21,230.15,147.63,60.78,40.28,104.15,99.59,121.72,91.5,8168.0,362.58
2017-11-22,229.93,147.82,60.95,40.39,104.47,99.92,122.84,93.11,8257.26,381.25
2017-11-23,229.93,147.81,60.94,40.38,104.48,99.92,122.84,93.11,8068.98,405.65
2017-11-24,230.47,148.31,61.45,40.3,104.2,99.83,122.53,94.63,8187.62,469.79
2017-11-25,230.48,148.31,61.45,40.29,104.19,99.84,122.53,94.64,8751.11,462.68
2017-11-26,230.47,148.32,61.45,40.3,104.19,99.84,122.54,94.64,9179.8,463.6
2017-11-27,230.36,148.25,61.08,39.71,104.05,99.91,123.06,93.06,9703.41,473.03
2017-11-28,232.65,148.65,61.43,40.0,104.17,99.93,123.04,92.97,9949.5,466.9
2017-11-29,232.51,146.1,61.19,39.37,103.16,99.6,122.26,92.09,9738.39,422.57
2017-11-30,234.55,147.32,61.25,38.94,102.8,99.3,121.34,92.08,9893.21,428.2
2017-12-01,234.08,146.68,61.0,38.72,104.17,99.65,121.82,93.68,10842.38,458.49
2017-12-02,234.07,146.69,61.0,38.72,104.16,99.65,121.83,93.67,10951.48,458.6
2017-12-03,234.08,146.69,61.0,38.72,104.16,99.65,121.83,93.68,11230.52,461.27
2017-12-04,233.81,144.98,60.79,38.79,104.21,99.6,121.42,92.24,11644.35,467.78
2017-12-05,232.93,145.06,60.65,38.77,104.7,99.67,120.56,92.65,11764.33,453.55
2017-12-06,232.98,145.75,60.53,38.25,105.07,99.89,120.3,89.91,13626.14,412.22
2017-12-07,233.76,146.25,60.69,38.36,104.27,99.7,118.72,90.95,16690.7,407.64
2017-12-08,235.02,146.89,61.01,38.8,104.27,99.62,118.71,92.23,15969.77,443.9
2017-12-09,235.01,146.9,61.01,38.8,104.27,99.62,118.73,92.23,14743.59,461.34
2017-12-10,235.02,146.9,61.01,38.79,104.27,99.61,118.73,92.21,14985.21,428.45
2017-12-11,235.73,148.01,61.16,38.99,104.07,99.55,118.26,93.11,16681.93,509.96
2017-12-12,236.15,147.83,61.24,38.72,104.03,99.46,118.41,91.84,16442.02,621.6
2017-12-13,236.14,148.11,61.48,39.19,104.79,99.88,119.44,90.94,16122.03,685.79
2017-12-14,235.19,148.01,61.13,38.9,105.24,99.84,119.19,91.75,16423.68,681.81
2017-12-15,237.16,149.6,61.12,38.99,105.66,99.82,119.44,91.99,17633.66,677.3
2017-12-16,237.15,149.59,61.13,38.99,105.65,99.82,119.43,91.99,19204.81,685.17
2017-12-17,237.16,149.58,61.13,38.99,105.65,99.82,119.44,91.99,18961.42,709.98
2017-12-18,238.64,150.89,61.86,39.43,104.67,99.59,119.99,91.83,18960.78,786.78
2017-12-19,237.73,150.03,61.62,39.23,103.35,99.15,120.08,92.4,17391.0,801.05
2017-12-20,237.59,149.85,61.51,39.28,102.21,98.85,120.41,93.21,16583.7,793.31
2017-12-21,238.09,149.86,61.73,39.53,102.79,98.92,120.57,93.45,15579.93,785.61
2017-12-22,238.03,149.69,61.88,39.87,102.92,98.96,121.2,93.59,13398.43,638.67
2017-12-23,238.02,149.7,61.88,39.86,102.93,98.96,121.2,93.6,13370.96,642.91
2017-12-24,238.02,149.7,61.88,39.86,102.93,98.96,121.21,93.59,13573.11,660.47
