date,INSTRUMENT_1_vol,INSTRUMENT_2_vol,INSTRUMENT_3_vol,INSTRUMENT_4_vol,INSTRUMENT_5_vol,INSTRUMENT_6_vol,INSTRUMENT_7_vol,INSTRUMENT_8_vol,INSTRUMENT_9_vol,INSTRUMENT_10_vol
2017-08-04,64500964,29904044,15273504,59458525,9763977,1006004,8199036,2073891,0,0
2017-08-07,38438960,17517735,12680876,29743396,5660428,548016,3171124,2485907,0,0
2017-08-08,68584878,33896650,14962450,42617899,6705719,1358849,7814265,2760853,0,0
2017-08-09,71029958,37653003,16497581,34652447,11232039,1257903,9686846,2069662,0,0
2017-08-10,129961166,65838620,30930905,126186665,13100942,1518133,9076958,2963665,0,0
2017-08-11,79561317,44412826,31602119,69429967,6467072,1014066,7785035,1739500,0,0
2017-08-14,84618677,36649382,15277536,43761162,6363679,1079516,6525515,3073852,0,0
2017-08-15,65666536,30069965,15916618,36251107,9564553,1303587,7541558,2273677,0,0
2017-08-16,67113643,34614573,15614089,44323819,6460434,2335965,8235343,4563370,0,0
2017-08-17,139365614,77075497,21250808,71386109,11566073,1787427,8841744,2088823,759,7532
2017-08-18,144323384,64155867,19408702,85646735,11231658,1102660,13560856,3918371,1213,9199
2017-08-19,0,0,0,0,0,0,0,0,378,2231
2017-08-20,0,0,0,0,0,0,0,0,446,2625
2017-08-21,76864340,39461858,13467596,33145587,9421653,719734,5429764,3798107,741,5399
2017-08-22,76712138,35547001,12955577,40391286,7237364,1012665,6404167,1949009,934,8177
2017-08-23,57839210,24409903,14870171,55762046,9424959,1448545,4941215,2035431,1127,8357
2017-08-24,53498837,43034746,15007939,62554629,7579108,2506978,4152056,2127030,800,6566
2017-08-25,68119824,28810109,17104446,61580515,8409025,1088704,11362087,1916618,612,7363
2017-08-26,0,0,0,0,0,0,0,0,214,4618
2017-08-27,0,0,0,0,0,0,0,0,364,4517
2017-08-28,45465130,16186560,15916048,47608783,5058380,1034622,11457608,3962355,665,4429
2017-08-29,56546067,27027248,13166125,52549261,8810445,1725751,9549811,2466841,630,3048
2017-08-30,76982714,35474489,12836534,57924754,6239126,1527346,5770646,2385160,803,4471
2017-08-31,114577349,39049728,21753038,73004706,10222436,1067726,11577177,3063739,529,4383
2017-09-01,71480648,25003698,16720791,65193251,18278867,1557773,12294289,1956885,580,4153
2017-09-02,0,0,0,0,0,0,0,0,863,8429
2017-09-03,0,0,0,0,0,0,0,0,690,5024
2017-09-04,0,0,0,0,0,0,0,0,1324,6175
2017-09-05,100911964,46313877,21347927,59682633,18900024,3270621,12421892,3177832,1217,8609
2017-09-06,60289199,34094165,24438014,49742037,10799331,1798954,9667803,2626026,842,5492
2017-09-07,62723625,23869788,14726771,45135503,15718084,4573223,9556536,2610431,528,3289
2017-09-08,67826658,28450232,19288004,51401975,11614175,1297720,9056902,2733206,1161,5182
2017-09-09,0,0,0,0,0,0,0,0,692,2586
2017-09-10,0,0,0,0,0,0,0,0,702,4301
2017-09-11,84292048,31259080,21028918,53909884,20735079,2343945,9434673,2166218,686,4539
2017-09-12,64527741,30559229,13291443,60517154,9457011,3523996,8198102,1855293,880,5102
2017-09-13,63283418,26839575,15523376,65473737,7860772,1559180,8297144,2856527,931,6441
2017-09-14,106809481,34853952,17539817,42253969,8111378,1547568,5495212,3164854,1637,12391
2017-09-15,95613816,51526395,18027841,58982424,11960609,1687046,7892928,2101460,1910,13309
2017-09-16,0,0,0,0,0,0,0,0,1318,10081
2017-09-17,0,0,0,0,0,0,0,0,659,4602
2017-09-18,48113636,25507411,15392569,45242203,8641563,3303439,9627370,2494985,1041,3925
2017-09-19,51252213,20384797,10234584,76653236,7089934,728666,6131176,2000449,855,1821
2017-09-20,67095087,34740495,17303556,92969284,9756077,2560388,10865256,2940911,736,1020
2017-09-21,50782705,32257708,12752521,39099533,7375538,2685787,7936874,1433430,1050,1835
2017-09-22,55802555,23263149,9714887,47928931,7327779,814157,6023343,1789835,813,1412
2017-09-23,0,0,0,0,0,0,0,0,711,2834
2017-09-24,0,0,0,0,0,0,0,0,720,5802
2017-09-25,65480911,53827333,15322389,94126796,11341434,2259521,9712140,3293851,757,5672
2017-09-26,63345220,29366875,22425041,78840550,8274534,1123478,8779375,1734081,533,4570
2017-09-27,93606139,38176595,23026677,96748292,14755393,4408432,6821853,1843608,626,5816
2017-09-28,46737063,24144083,13001253,66224232,12143580,1919547,5979278,2335952,837,6585
2017-09-29,94043588,51350240,29506168,80759676,14604274,2204163,10236817,1624729,1581,10412
2017-09-30,0,0,0,0,0,0,0,0,750,4027
2017-10-01,0,0,0,0,0,0,0,0,643,5178
2017-10-02,61311635,28756506,18925136,83597797,9685518,3671088,12433618,2191943,691,3652
2017-10-03,73413711,19485736,14719619,63018694,6665402,2762073,3646725,1382884,1069,5453
2017-10-04,71597278,30085543,14823580,54556838,9592670,2372594,6729603,1677573,873,4203
2017-10-05,70029168,33321765,12917056,43870160,8711389,1941286,6431091,1710497,736,3487
2017-10-06,90984985,25728886,18731812,52188047,11667969,2414956,10012095,2964095,464,3450
2017-10-07,0,0,0,0,0,0,0,0,290,2279
2017-10-08,0,0,0,0,0,0,0,0,543,2939
2017-10-09,41512113,15308148,6148173,27572661,4348466,1001809,5376407,1384208,593,4734
2017-10-10,48555917,18751700,19778022,53734296,7324049,1163586,9181480,1925562,1117,6944
2017-10-11,49998467,12093062,18888667,58091234,5613083,3291601,6148796,1698708,788,3804
2017-10-12,49993595,13789762,12415783,38907346,8337085,1389524,3043656,2023551,1277,7617
2017-10-13,55307538,19793196,14813513,71210937,9996789,1525999,6575464,2273228,1827,18418
2017-10-14,0,0,0,0,0,0,0,0,995,7785
2017-10-15,0,0,0,0,0,0,0,0,1343,10789
2017-10-16,42614565,23959229,9703460,41142393,6669544,1778249,8178684,2092969,1477,9994
2017-10-17,33066133,13960707,9617875,47168949,5903470,727120,6838549,2242399,1384,8086
2017-10-18,44343690,17376746,12547873,44245509,7002279,1746190,3487122,1707837,2320,12924
2017-10-19,67012190,29746081,11469812,61120915,10856713,1482689,6126374,1485768,1898,8825
2017-10-20,110898776,33119739,14709677,52912354,14616726,2572669,8324738,1547410,2035,9008
2017-10-21,0,0,0,0,0,0,0,0,1596,7812
2017-10-22,0,0,0,0,0,0,0,0,1511,7382
2017-10-23,74183178,29643850,9435413,53330837,9082328,697847,5300793,1459478,1667,10210
2017-10-24,72484041,19916817,12333047,45614531,8257854,1668802,4857011,2158953,2682,14295
2017-10-25,118376347,37347606,13186086,65298089,11687734,2128358,4471643,2093408,2112,8877
2017-10-26,76143741,29742058,14219985,65927116,10139634,2084988,6889316,1898397,2002,7556
2017-10-27,97761147,69899119,20504129,61686861,12226522,1373433,6489468,2925903,1400,6761
2017-10-28,0,0,0,0,0,0,0,0,1324,5602
2017-10-29,0,0,0,0,0,0,0,0,1778,9269
2017-10-30,59894257,32165057,15832921,40876567,10414788,1693153,5365833,1625781,1413,9343
2017-10-31,68149840,27272257,24077462,75679261,5897879,1257026,4105756,1735556,1581,7582
2017-11-01,53811878,29931157,27265868,64752262,10795100,1409040,4511117,2850360,1801,9510
2017-11-02,58879959,29717366,24080906,45283975,8444923,2156096,5037967,1309965,2456,12698
2017-11-03,66036543,27040653,16401867,53721143,14109765,2717703,6270300,2288785,1723,8186
2017-11-04,0,0,0,0,0,0,0,0,1421,7791
2017-11-05,0,0,0,0,0,0,0,0,1239,6485
2017-11-06,59539829,32998739,12365656,35769318,6730812,944155,6716055,3751056,1864,7016
2017-11-07,59504115,19866154,14726766,58367364,7699092,732457,4338009,2544505,1423,8852
2017-11-08,60294191,17215928,17491099,35948219,4021901,944629,5914432,4424780,2932,15878
2017-11-09,107413243,43830174,25761968,45666358,7331580,1011379,5494988,2663675,1925,10962
2017-11-10,68491183,20580366,12553675,36231624,14851521,1974636,7166728,1571087,3124,15496
2017-11-11,0,0,0,0,0,0,0,0,2794,10231
2017-11-12,0,0,0,0,0,0,0,0,4798,19915
2017-11-13,60639466,13780936,14141908,62273618,6863253,941732,5997404,1686055,2747,16189
2017-11-14,74174565,26098122,14692968,70138395,7888537,1789121,5958549,2544610,1287,16924
2017-11-15,89220504,29871789,23479356,60025163,11254053,1983862,5162061,1850827,1734,15240
2017-11-16,76536671,34073120,18526400,51569040,7368594,1887713,2954993,1395379,2155,14468
2017-11-17,81725923,29034216,29778768,53210594,8258089,989942,10512853,2118498,3741,17872
2017-11-18,0,0,0,0,0,0,0,0,4093,16172
2017-11-19,0,0,0,0,0,0,0,0,3851,20439
2017-11-20,56327039,23298899,23897405,58134599,5297959,1201502,7944526,1379951,4001,17060
2017-11-21,78445975,20315737,18343915,71116978,7070174,923648,4787204,1368422,5260,27704
2017-11-22,53060411,19653212,20624134,71397660,5379902,1884232,5371187,2344343,3325,17888
2017-11-23,0,0,0,0,0,0,0,0,4076,24742
2017-11-24,30142449,9162179,13582693,31646912,3926873,700190,1820161,1222623,4448,28957
2017-11-25,0,0,0,0,0,0,0,0,4373,21852
2017-11-26,0,0,0,0,0,0,0,0,4166,21313
2017-11-27,58179194,24101499,19155263,59620526,7386530,2078028,4754981,1827426,4847,22141
2017-11-28,113647916,26365027,22499050,65757761,6466518,1533886,5914534,1075569,4684,23929
2017-11-29,84824945,68448700,21428012,74146644,17996087,3122847,5837444,1959413,13867,58439
2017-11-30,145483205,56478695,27016790,144248857,10929040,3713385,8044382,2213440,8598,47263
2017-12-01,178030385,62605629,37880068,96246912,29507936,4336127,12583050,1806342,6350,33041
2017-12-02,0,0,0,0,0,0,0,0,4477,26658
2017-12-03,0,0,0,0,0,0,0,0,5081,24517
2017-12-04,104428578,58646851,22031093,80249168,11820682,2464707,6693574,1551283,4772,25597
2017-12-05,91154812,44341514,18789586,36692801,12470846,1601455,10382208,1727944,5754,25175
2017-12-06,92434645,29425160,13355136,98067348,15299487,1485649,6074407,2419694,6966,32911
2017-12-07,91056573,31759645,20114865,75410246,14646212,2140883,13683128,1136515,8383,39230
2017-12-08,81818280,29054475,21478346,51337335,5596167,2754626,5373383,1273381,17157,41756
2017-12-09,0,0,0,0,0,0,0,0,12750,42867
2017-12-10,0,0,0,0,0,0,0,0,16984,36297
2017-12-11,95592808,22412790,22983056,56701310,5194065,754666,4526794,1811177,11731,30129
2017-12-12,94531741,22683241,19881280,61828270,9091723,2758336,8117147,3129395,9970,54561
2017-12-13,118774358,28251632,31677445,95450188,10791192,1524188,9705377,2186132,11709,60424
2017-12-14,120840884,26188373,32639931,60878021,8491546,933568,7103018,1109233,11593,61606
2017-12-15,154217184,48919276,36245520,74486822,8282300,1861786,6991235,1232481,8767,36072
2017-12-16,0,0,0,0,0,0,0,0,4533,25555
2017-12-17,0,0,0,0,0,0,0,0,9229,29046
2017-12-18,96742203,29040262,42473165,69541929,9280995,1746395,5413365,1700029,10770,48936
2017-12-19,91353607,33698645,44295690,50574269,14172717,4322936,4117550,927235,13008,67842
2017-12-20,85825304,37135853,23583730,49796713,13150086,3164322,5743148,1324427,12708,72154
2017-12-21,77417808,19372079,24891738,49810786,9111565,2401638,4659414,1351488,19844,81033
2017-12-22,83074914,23121451,20488087,44328310,5029357,769925,5651210,815708,31494,151093
2017-12-23,0,0,0,0,0,0,0,0,13959,72408
2017-12-24,0,0,0,0,0,0,0,0,27240,90625
2017-12-25,0,0,0,0,0,0,0,0,16483,72855
2017-12-26,50840880,21502682,18188372,34061154,3834770,2860038,8558761,2319270,14737,62163
2017-12-27,66435107,23077192,22588664,40946108,11743251,2530871,6125140,1012814,15676,54778
2017-12-28,51119082,27543752,24384392,39107222,6446053,1675031,5609549,1677272,21242,72902
2017-12-29,117861194,31589678,18556027,52377284,9176870,1844867,7705315,1476507,18287,66895
2017-12-30,0,0,0,0,0,0,0,0,18265,91689
2017-12-31,0,0,0,0,0,0,0,0,10866,60598
2018-01-01,0,0,0,0,0,0,0,0,8500,53014
2018-01-02,98996890,34231784,29374374,76340236,20609319,4359036,11084444,1467435,20747,106815
2018-01-03,102205908,30325434,35497852,71340158,10249756,2326700,7446941,2322542,17454,82353
2018-01-04,89650208,27725835,26507368,62010196,10231390,2477726,7438073,1435445,20945,95096
2018-01-05,95972851,26451689,21319480,56302828,13756554,2377202,5456810,1535638,22719,95476
2018-01-06,0,0,0,0,0,0,0,0,19188,69414
2018-01-07,0,0,0,0,0,0,0,0,13702,66497
2018-01-08,61257710,24523743,25879185,43322752,10983627,2497277,3433125,1283081,25653,138293
2018-01-09,63191305,26384775,22815336,53133373,19744710,6495413,9203837,2710148,14181,120996
2018-01-10,75112933,39218185,18061013,86512597,17608526,2316379,13929797,1668549,17938,170925
2018-01-11,70685606,22342486,19153873,45863996,16090073,1879313,6346193,2368029,32526,199856
2018-01-12,111299233,39699248,24365603,88416340,12026051,1569126,9102986,2853327,15955,104347
2018-01-13,0,0,0,0,0,0,0,0,11595,72747
2018-01-14,0,0,0,0,0,0,0,0,18207,105028
2018-01-15,0,0,0,0,0,0,0,0,13805,70834
2018-01-16,120816396,43042100,27658832,100854363,12271273,6685989,8188684,2091327,65389,355433
2018-01-17,131659433,33381320,25287103,82735690,9594925,2399947,9713776,1982490,68900,428682
2018-01-18,110858762,28243649,22580796,41710816,12710322,3594189,5941835,2064195,48567,280959
2018-01-19,163204062,40565541,22387677,74817385,13486266,3233042,9406149,2317078,33807,159785
2018-01-20,0,0,0,0,0,0,0,0,29645,128182
2018-01-21,0,0,0,0,0,0,0,0,39757,178302
2018-01-22,109533398,29682255,18420312,54579608,10877285,8407994,5008455,1858390,43259,198683
2018-01-23,109383554,37065488,17998373,73805241,15445688,2036125,5774737,2106879,37282,157750
2018-01-24,156958512,60186725,26789741,80652805,10213787,2138810,11273007,3162457,27240,131580
2018-01-25,81184335,31282534,27375692,71116276,14574855,3481225,13900842,1904558,21677,125773
2018-01-26,124485848,34287819,22579665,97239626,7524402,3568477,7689233,3915803,34941,156539
2018-01-27,0,0,0,0,0,0,0,0,17178,96291
2018-01-28,0,0,0,0,0,0,0,0,16219,145001
2018-01-29,104201929,41829302,34015312,69326605,14577553,2425054,6614058,2020210,13819,108020
2018-01-30,140815387,46074222,131841871,101437960,13216090,2489268,9345317,4555059,26794,137554
2018-01-31,138656110,44032645,40350541,117810111,20467335,3329058,12984472,2455678,19926,92611
2018-02-01,96783059,38609692,34160746,86910286,22589335,9969324,11039903,2299270,34487,205732
2018-02-02,188170351,79010548,42686745,142535668,30343221,5969041,17291013,3650007,48580,354325
2018-02-03,0,0,0,0,0,0,0,0,28026,145570
2018-02-04,0,0,0,0,0,0,0,0,33123,182017
2018-02-05,330020716,110226833,88743025,177635614,34731551,7997922,13736022,3882538,61153,372478
2018-02-06,378419520,131754273,88361059,204971074,12147445,5824028,17297905,3055865,95314,666188
2018-02-07,192723887,95432462,50358783,183374390,18780818,4786809,8780265,4527625,62155,384041
